name;price;expiration
Rubber Soap for Aperture #(26307594);$929.01;11/28/2021
Incredible Fresh Computer #(12561429);$696.87;5/18/2022
Silver Ergonomic Chips #(52015619);$452.06;8/6/2023
Bronze Soap for BlackMesa #(81789098);$79.91;8/4/2024
Globex Salad Recycled #(26208096);$664.51;10/26/2022
Weyland Ball with WiFi #(12136327);$617.55;6/23/2025
Handcrafted Fresh Soap #(90974228);$827.65;4/20/2025
Plastic Tuna for Initech #(55599531);$783.71;12/12/2024
Unbranded Rubber Salad #(77718881);$465.03;6/21/2025
Orange Generic Soap #(15296853);$35.52;7/18/2025
Wonka Unbranded Violet Keyboard #(68523561);$573.81;12/10/2025
Gorgeous Plastic Chair #(90620270);$312.27;9/1/2024
Bronze Fantastic Computer #(61914318);$787.69;5/20/2022
Soylent Fish Recycled #(18733898);$689.12;4/28/2026
Yoyodyne Generic Lime Cheese #(48774841);$687.37;11/25/2024
Grey Generic Pizza #(37704557);$267.08;1/17/2025
Bronze Generic Gloves #(49366968);$647.09;2/12/2020
Wooden Computer for Aperture #(78042734);$583.88;5/25/2020
Lime Tasty Computer #(72223355);$596.70;3/20/2025
Tyrell Chair with WiFi #(27680061);$815.15;3/23/2025
Sleek Rubber Chicken #(60714697);$192.93;11/22/2025
Glass Cheese for Acme #(27492342);$458.08;8/17/2021
Grey Handcrafted Bike #(40386401);$943.96;10/5/2022
Fresh Pants for Tyrell #(52609836);$180.72;8/14/2024
Hooli Luxury Lime Computer #(43497429);$747.59;3/5/2025
Large Metal Shirt #(69594753);$206.99;7/25/2025
Umbrella Chair Portable #(12926939);$625.99;11/21/2022
Gold Durable Soap #(94148137);$296.79;8/31/2022
Frozen Hat for Nook #(33679344);$432.61;1/23/2022
Leather Hat for Weyland #(24553007);$477.69;10/26/2025
Ceramic Mouse for Soylent #(34549672);$340.02;12/5/2022
Linen Pants for Massive #(51301805);$148.55;12/29/2022
MomCorp Generic Violet Chair #(96041011);$315.79;7/17/2023
Lime Budget Tuna #(21205287);$618.55;7/7/2023
Awesome Cotton Table #(30529900);$986.93;11/25/2023
Green Rustic Gloves #(61493840);$806.87;11/8/2026
Aperture Generic Bronze Table #(20324013);$367.03;5/22/2026
Soft Soap for Umbrella #(65783383);$511.07;2/5/2021
Umbrella Soap Eco-friendly #(24769596);$171.76;10/24/2026
Metal Bacon for Stark #(35425847);$506.38;10/29/2024
Tyrell Soap Fireproof #(55278898);$879.66;1/6/2023
Velvet Bike for Weyland #(61269432);$96.75;3/20/2021
Budget Plastic Pizza #(32157072);$844.48;10/18/2026
Unbranded Ceramic Shirt #(99482081);$361.75;2/5/2021
Plastic Bike for Aperture #(74352074);$312.31;6/19/2025
Luxury Granite Fish #(13414547);$319.25;7/6/2023
Generic Metal Pizza #(89167957);$356.25;2/15/2021
Indigo Handcrafted Car #(14794561);$983.32;1/2/2021
Orange Generic Sausages #(18479618);$300.00;10/21/2021
Soylent Sleek Indigo Shirt #(84573426);$416.15;9/2/2020
Wayne Tuna Waterproof #(33129456);$726.58;2/28/2022
Metal Chips for Wayne #(85515679);$159.09;6/3/2025
Dharma Fish Battery Powered #(61443987);$367.18;11/13/2023
Umbrella Refined Purple Pants #(87629295);$22.06;1/11/2026
Tyrell Practical Turquoise Shirt #(24437073);$864.19;12/30/2026
Yoyodyne Licensed Green Chair #(86371041);$191.75;7/1/2026
Turquoise Durable Ball #(35358483);$834.34;4/22/2022
Steel Shoe for Cyberdyne #(86550019);$518.96;12/2/2025
